"product_name","url","origin_price","current_price"
"THCa Flower – Durban Poison","https://cbdhemp.direct/products/thca-flower-durban-poison","$35.99 – $193.49","$35.99 – $193.49"
"THCA Flower Futurola Blunt","https://cbdhemp.direct/products/thca-flower-futurola-blunt","$13.99 – $71.99","$13.99 – $71.99"
"THCA FLOWER TRIM","https://cbdhemp.direct/products/thca-flower-trim","$34.99 – $124.99","$34.99 – $124.99"
"50:50 THCA/CBD Flower Joint","https://cbdhemp.direct/products/5050-thca-cbd-flower-joint","$9.99 – $49.99","$9.99 – $49.99"
"THCa Flower – King Maui","https://cbdhemp.direct/products/thca-flower-king-maui","$25.19 – $152.99","$25.19 – $152.99"
"THCa Flower – Chemdawg","https://cbdhemp.direct/products/thca-flower-chemdawg","$25.19 – $152.99","$25.19 – $152.99"
"THCa Flower – Brass Monkey","https://cbdhemp.direct/products/thca-flower-brass-monkey","$25.19 – $152.99","$25.19 – $152.99"
"THCa Flower – Permanent Marker","https://cbdhemp.direct/products/thca-flower-permanent-marker","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower +D8 + THCa Isolate Blunts","https://cbdhemp.direct/products/thca-flower-d8-thca-isolate-blunts","$15.99 – $89.94","$15.99 – $89.94"
"THCA Flower + Delta 8 Moon Rocks Cigar","https://cbdhemp.direct/products/thca-flower-delta-8-moon-rocks-cigar","$29.99","$29.99"
"THCA Flower Packwoods Blunt","https://cbdhemp.direct/products/thca-flower-packwoods-blunt","$18.99","$18.99"
"THCA Cigars","https://cbdhemp.direct/products/thca-cigars","$44.99","$44.99"
"THCA Flower Blunt","https://cbdhemp.direct/products/thca-blunts","$18.99 – $99.99","$18.99 – $99.99"
"Delta 10 Hemp Joint – Gelato STRAIN","https://cbdhemp.direct/products/delta-10-hemp-joint-gelato-strain","$9.99","$9.99"
"CBG Small Buds – Stardust (Winter 2022 Strain)","https://cbdhemp.direct/products/cbg-small-buds-stardust-winter-2022-strain","$13.99","$13.99"
"THCa Flower – Donny Burger","https://cbdhemp.direct/products/thca-flower-donny-burger","$35.99 – $193.49","$35.99 – $193.49"
"Bulk THCa Flower – Tahoe OG","https://cbdhemp.direct/products/value-thca-flower-tahoe-og","$25.99 – $199.99","$25.99 – $199.99"
"CBD Gummies | 500 MG TOTAL","https://cbdhemp.direct/products/cbd-gummies","$24.99","$19.99"
"Entourage Edition | D8/10 + HHC + THC-P + CBD Distillate Oil","https://cbdhemp.direct/products/entourage-edition-d8-10-hhc-thc-p-cbd-distillate-oil","$84.99 – $284.99","$84.99 – $284.99"
"THC-P Vape Cartridge – 1000 MG | New","https://cbdhemp.direct/products/thc-p-vape-cartridge-1000-mg-new","$50.00 – $100.00","$50.00 – $100.00"
"Entourage Edition | D8/10 + HHC + THC-P + CBD Hemp Flower","https://cbdhemp.direct/products/entourage-hemp-flower","$44.99 – $499.99","$44.99 – $499.99"
"Entourage Edition | D8/10 + HHC + THC-P + CBD Joint (1 Gram)","https://cbdhemp.direct/products/entourage-edition-joints","$10.99 – $29.99","$10.99 – $29.99"
"Entourage Edition | 1000 MG | D8/10 + HHC + THC-P + CBD Vape Cartridge","https://cbdhemp.direct/products/entourage-edition-vape","$44.99 – $84.99","$44.99 – $84.99"
"Dual-Ended Dab Tool (Stainless Steel)","https://cbdhemp.direct/products/dual-ended-dab-tool-stainless-steel","$16.99","$14.50"
"Bulk Delta-8 Small Buds (1/4 LB)","https://cbdhemp.direct/products/bulk-delta-8-small-buds-1-4-lb","$149.99","$99.99"
"Victory CBD Hemp Flower Seeds (5 Seed Packet)","https://cbdhemp.direct/products/victory-cbd-hemp-flower-seeds","$45.00","$9.99"
"THCa Flower Joint – 4 Strains Available!","https://cbdhemp.direct/products/thca-joints","$12.99 – $74.99","$12.99 – $74.99"
"THCa Flower – Lemon Drop","https://cbdhemp.direct/products/lemon-drop-thca-flower","$35.99 – $193.49","$35.99 – $193.49"
"THCa Diamonds – 2 Options Available","https://cbdhemp.direct/products/thca-diamonds-2-strains","$55.00","$39.99"
"THC-P Joint (1 Gram)","https://cbdhemp.direct/products/thc-p-joint","$10.99","$10.99"
"Thai Stick","https://cbdhemp.direct/products/thai-stick","$59.99 – $99.99","$59.99 – $99.99"
"Multi-Piece Grinders","https://cbdhemp.direct/products/grinder-3-piece-60mm","$5.99 – $29.99","$5.99 – $29.99"
"HHC Joint (1 Gram)","https://cbdhemp.direct/products/hhc-joint","$10.99","$9.99"
"Hemp Flower (Machine Trimmed)","https://cbdhemp.direct/products/hemp-flower-machine-trimmed","$37.99 – $139.99","$37.99 – $139.99"
"Full Spectrum CBD Tincture","https://cbdhemp.direct/products/full-spectrum-cbd-oil-tincture","$69.98","$34.99"
"DIY Distillate Syringes (1ml)","https://cbdhemp.direct/products/distillate-syringes","$14.99 – $24.99","$14.99 – $24.99"
"$9.99 Delta-8 Gummies!! – 2 Flavors [LIMITED RELEASE]","https://cbdhemp.direct/products/delta-8-gummies-limited-release","$9.99","$9.99"
"Delta-8 Flower (Machine Trimmed)","https://cbdhemp.direct/products/machine-trimmed-delta-8-flower","$9.99 – $44.99","$9.99 – $44.99"
"CCELL 510 Thread Vape Cartridges (5-Pack)","https://cbdhemp.direct/products/ccell-510-thread-vape-cartridges-5-pack","$49.99 – $144.99","$49.99 – $144.99"
"CBG Hemp Flower – Stardust (Winter 2022 Strain)","https://cbdhemp.direct/products/cbg-hemp-flower","$19.99 – $224.99","$19.99 – $224.99"
"CBD Small Buds","https://cbdhemp.direct/products/cbd-small-buds","$12.99 – $78.99","$12.99 – $78.99"
"CBD Hemp Flower","https://cbdhemp.direct/products/hemp-flower","$7.99 – $226.99","$7.99 – $226.99"
"CBD Dog Treats","https://cbdhemp.direct/products/cbd-dog-treats","$49.99","$49.99"
"Bulk THCa + Delta-8 Flower – 3 Strain Options","https://cbdhemp.direct/products/bulk-thca-delta-8-flower-1-4-lb","$59.99 – $269.99","$59.99 – $269.99"
"THC-P Gummies","https://cbdhemp.direct/products/thc-p-gummies","$38.99","$38.99"
"Paradise OG CBD Trim – 19.6% CBD","https://cbdhemp.direct/products/paradise-og-cbd-hemp-flower-trim-for-sale","$39.99 – $74.99","$39.99 – $74.99"
"Lifter CBD Trim – 20.69% CBD","https://cbdhemp.direct/products/lifter-cbd-trim","$39.99 – $74.99","$39.99 – $74.99"
"Rolling Papers (3 Pack)","https://cbdhemp.direct/products/jazzy-rolling-papers","$6.00","$1.50"
"HHC Vape Cartridge – 1000 MG","https://cbdhemp.direct/products/hhc-vape-cartridge-1000-mg","$44.99 – $84.99","$44.99 – $84.99"
"HHC Hemp Flower Small Buds (10g)","https://cbdhemp.direct/products/hhc-hemp-flower-small-buds-10-g","$22.99 – $24.99","$22.99 – $24.99"
"HHC Gummies","https://cbdhemp.direct/products/hhc-gummies","$19.99 – $26.99","$19.99 – $26.99"
"HHC Flower","https://cbdhemp.direct/products/hhc-flower","$8.99 – $119.99","$8.99 – $119.99"
"HHC Distillate Oil – 92% HHC","https://cbdhemp.direct/products/hhc-distillate-oil","$35.99 – $130.00","$35.99 – $130.00"
"Delta-8 Tinctures – 1000 MG D8 THC","https://cbdhemp.direct/products/delta-8-tinctures","$37.99 – $72.99","$37.99 – $72.99"
"Delta-8 THC Vape Cartridge – 1000 MG","https://cbdhemp.direct/products/delta-8-thc-vape-cartridge-1000-mg","$39.99 – $74.99","$39.99 – $74.99"
"Delta-8 Moon Rocks","https://cbdhemp.direct/products/delta-8-moon-rocks","$12.99 – $119.99","$12.99 – $119.99"
"Delta-8 Gummies","https://cbdhemp.direct/products/delta-8-gummies","$19.99 – $29.75","$19.99 – $29.75"
