"nsn_number","solicitation","part_number"
"8455-00-334-7967","SPE1C1-24-Q-0056","MIL-DTL-11589"
"8455-01-145-6373","SPE1C1-24-Q-0057","MIL-DTL-11589/443,MIL-S-3951,MIL-R-14655"
"8410-00-0SK-T523","SPE1C1-24-Q-0059",""
"8455-01-691-6479","SPE1C1-24-T-0379","MIL-DTL-14651A,B-11-8"
"6525-01-608-7678","SPE2DH-24-Q-0063","6625NCM127852,219411,9729557-05,9729557-90"
"6520-01-593-2238","SPE2DH-24-Q-0064","TRITON MILITARY SELF CONTAINED,6520NCM116128,22865,90-2025M/DV"
"6525-01-668-3508","SPE2DH-24-Q-0065","6525NCM173854,1461624,VIR10001901"
"6520-01-556-3027","SPE2DH-24-Q-0067","TRITON,6520NCM071526,MODEL 2025M"
"4110-01-629-9593","SPE2DH-24-Q-0069","4110NCM141289,1209953,HMC-MIL-1A"
"4110-01-629-9593","SPE2DH-24-Q-0069","4110NCM141289,1209953,HMC-MIL-1A"
"4110-01-629-9593","SPE2DH-24-Q-0069","4110NCM141289,1209953,HMC-MIL-1A"
"6630-01-245-5989","SPE2DH-24-T-0490","GTP-835"
"6640-01-677-1068","SPE2DH-24-T-0491","6640NCM184611,1536453,1189870"
"6530-01-548-0940","SPE2DH-24-T-0492","6530NCM060768,2295,FIRST RESPONDER BAG"
"6530-01-548-0940","SPE2DH-24-T-0492","6530NCM060768,2295,FIRST RESPONDER BAG"
"6640-01-642-2527","SPE2DH-24-T-0493","F60-WIDRG-065130-VPS"
"6530-01-276-7939","SPE2DH-24-T-0494","87-12-1-224 AH,50100"
"6135-01-652-9622","SPE2DH-24-T-0495","6135NCM162667,1399996,XBTAED001A"
"6630-01-188-5368","SPE2DH-24-T-0496","EP-10"
"6640-01-558-7788","SPE2DH-24-T-0497","10063"
"6630-01-388-4098","SPE2DH-24-T-0498","COMPARATOR P/A,WP104,WP102"
"6630-01-388-4098","SPE2DH-24-T-0498","COMPARATOR P/A,WP104,WP102"
"6630-01-388-4098","SPE2DH-24-T-0498","COMPARATOR P/A,WP104,WP102"
"6505-01-668-1186","SPE2DP-24-Q-0031","6508NCM173912,1489676,BAS SUNS SPF30M"
"6505-01-075-0679","SPE2DP-24-Q-0032","2F7114,NDC00338-0004-04"
"6505-01-505-3770","SPE2DP-24-Q-0033","03-0045,NDC00990-7923-36"
"6505-01-633-1037","SPE2DP-24-T-0447","6505NCM141558,1252194,CC065S"
