"company_name","email","phone","website"
"KRAVVAS AGRO"," kravvasagro@gmail.com"," 6944525019",""
"Israel Cotton Production & Marketing Board Ltd."," matanya@cotton.co.il"," +972-50-5587253"," https://www.cotton.co.il"
"MELİKLER TARIM TEKSTİL"," rifatunver@hotmail.com"," +905426690326",""
"Yusufcan Tarım Ürünleri Sanayi Ticaret Limited Şirketi"," ik@yusufcantarim.com"," +90 414 553 2493"," http://www.yusufcantarim.com/"
"South Asian Sourcing Pvt. Ltd."," bilal@sourcing.com.pk"," +92 3163444443"," https://www.southasiansourcing.com.pk"
"Sindh Agro Industries"," cotton@sindhagro.com"," +923322680110"," https://www.sindhagro.com"
"Ploughman Agro Chemicals"," amitabh.papl20@gmail.com"," +9630291473",""
"SM HOLDINGS LTD"," nahdi@smholdings.com"," +255783500500"," https://www.smholdings.com"
"Union des Producteurs de Cultures biologiques (UPC Bio Bénin)"," datiaugustin.10@gmail.com"," +229 97184689",""
"Bowles Farming Company, Inc."," boom@bfarm.com"," 1 209-827-3000"," https://bfarm.com/"
"Akasya Agricultural Products Food San. and Tic."," mustafa@akasyaltd.com"," +90 5547924512"," https://www.akasyaltd.com"
"Vivekanand Research and Training Institute"," samir.prajapati@arvind.in"," +99 98305473"," http://www.vrti.org"
"Union Nationale des Producteurs de Coton du Burkina (UNPCB)"," unpcb@fasonet.bf"," +226 20 97 33 10"," http://www.unpcb.org"
"Stay True Organic"," Martin@staytrueorganic.com"," +5491132362061"," http://www.staytrueorganic.com"
"Organisation Béninoise pour la Promotion de l’Agriculture Biologique (OBEPAB)"," bmdelphine@gmail.com / dsvodouhe@yahoo.com"," +22 997131163 / +22 996691096"," http://www.pabebenin.org"
"Norfil"," ariel@norfil.com.br"," +5511982805006"," http://pt.norfil.com.br/"
"National Federation of Organic and Fair Trade Agriculture Farmers of Mali (FENABE)"," baga60@gmail.com"," +223 76033524 / +223 66724105"," https://en.programme-equite.org/fenabe-mali"
"Mahiti – Dholera"," samir.prajapati@arvind.in"," +99 98305473"," http://mahiti-gujarat.org"
"KADIOĞLU TARIM TİCARET VE SANAYİ ANONİM ŞİRKETİ"," aydin@kadioglutarim.com, bulent@kadioglutarim.com"," +90 2324213680, +90 5334686354"," http://www.kadioglutarim.com"
"HAKAN ORGANİK TARIM TEKSTİL LTD STİ"," Hakanorganik@gmail.com"," +90 5325888968",""
"Farnico International Ltd."," sergej@farnico.com"," +99 2555554029"," http://www.farnico.com"
"Coopnatural"," maysagadelha@gmail.com"," +55 83999280496"," http://www.naturalfashion.com.br"
"Akasya Tarım Ürünleri Gıda San. ve Tic A.Ş."," mustafa@akasyaltd.com"," +90 5547924512"," https://www.akasyaltd.com"
"Sekem"," maximilian.abouleish@sekem.com"," + 20 1283228773"," https://www.sekem.com/en/index/"
"Shelle Mella Organic Cooperative"," feelatalo@gmail.com"," +251 913987506",""
"Xperia Technologies (SIA Foundation Pakistan)"," IMRAN.ASGHAR3107@GMAIL.COM"," + 92 3212665047"," https://www.siafoundationpk.org"
"WWF Pakistan"," mbaksh@wwf.org.pk"," +923005135478"," http://www.wwfpak.com"
"Welspun Foundation for Health and Knowledge (WFHK)"," maheshramakrishnan@welspun.com"," +91 8291846194"," http://www.welspun.com"
"Texas Organic Cotton Marketing Cooperative"," kelly@texasorganic.com"," 1 806-748-8336"," https://www.texasorganic.com/"
"Sun County Farm/ Green Planet Drip LLC"," David@greenplanetdrip.com"," +1 4329550785",""
"Suminter India Organics Pvt Ltd."," ISHWAR@SUMINTER.COM"," + 91 9920566178"," https://www.suminterindiaorganics.com/"
