company_name,url,about_company,email,phone
"Abaris Training Resources, Inc.",http://www.abaris.com,"Abaris is the world leader in advanced composite materials training and services. We offer over 23 short 5-day courses in engineering/design, manufacturing, and repair of composite structures. We can host your team at our facility or yours. Contact us today to find out more about what we can do for you.",lou@abaris.com,971-261-2053
AeroDefense,http://aerodefense.tech,"Founded in 2015, AeroDefense provides a proven and unique Radio Frequency (RF) spectrum-sensing drone and pilot detection system called the AirWarden™ system. The patented system, detects, tracks, and identifies both drone and pilot simultaneously via a network of sensors, providing actionable intelligence so security teams can stop the source of the threat – the drone pilot. AeroDefense offers flexible fixed/permanent, temporary/portable, and vehicle or marine vessel-based deployment options that operate in motion.",lexi.rinaudo@aerodefense.tech,225-270-1347
"Aeroworks Productions, LLC",http://www.aeroworksproductions.com,"Professional, FAA Certificated and Insured specialty imaging company. Aerial Imaging, Aerial Mapping, Laser Scanning, 3D/VR, 360 Photography/Video, Architectural Audits and 4K video Production.",adam@aeroworksproductions.com,262-455-5135
Airborne Public Safety Association,http://www.publicsafetyaviation.org,"The Airborne Public Safety Association, Inc. [APSA], is a non-profit educational, individual membership, public benefit corporation, founded in 1968, whose mission is to promote and advance the safe and effective utilization of manned and unmanned aircraft by governmental agencies in support of public safety operations through training, networking, advocacy and educational programs. We fulfill this mission through seminars, product expositions, classes, publications and our website, all of which provide multiple networking opportunities that members find invaluable. Visit us at www.publicsafetyaviation.org.",bosborne@publicsafetyaviation.org,301-631-2406 | F: 301-631-2466
Airvelations,http://www.airvelations.com,"Airvelations is a Service-Disabled Veteran-Owned Small Business (SDVOSB) providing Small Unmanned Aerial System (SUAS) consulting, technical training and operational support services to the Federal Government, State and Local Emergency Response and Commercial clients.",chris@airvelations.com,201-572-4265
"AlarisPro, Inc.",http://alarispro.com,"AlarisPro is an intuitive software solution that efficiently tracks and manages an organization's aircraft, pilots, and program resources leveraging the lessons learned of decades of crewed aviation practices. AlarisPro's fleet management products including flight logs, maintenance logs, pilot data, UAS data, predictive maintenance recommendations, and component-level reliability data are unmatched in the industry. Our background in manned and unmanned aircraft airworthiness coupled with our systems-of-systems approach to analyzing Unmanned Aircraft Systems (UAS) reliability has directly improved the safety and reliability of UAS systems and operations.",sales@alarispro.com,410-881-0800
Alva Industries,http://www.alvaindustries.com,Alva Industries is a leading developer and supplier of next-generation propulsion systems for high-end UAVs,sales@alvaindustries.com,4796943427
"American Aerospace Technologies, Inc.",http://americanaerospace.com,"Founded in 2002, AATI is a leader in intelligent airborne sensing and surveillance services for energy and other critical infrastructure. We deliver services with conventional aircraft, drones and medium altitude, long endurance unmanned aircraft. AATI has been flying long endurance UAS Beyond Visual Line of Sight (BVLOS) in the national airspace system since 2010.",david@americanaerospace.com,610-225-2604
Anemoment LLC,http://anemoment.com,"Anemoment LLC is a specialized meteorological instrument design firm located in Longmont, CO. Anemoment brings you the world’s smallest and lightest 3-dimensional ultrasonic anemometer, the TriSonica Mini Wind and Weather Sensor, and the TriSonica Sphere Wind Flux Sensor, the industry’s smallest and lightest 3D sensor engineered from inception to deliver more precise vertical wind measurements. With its patented wave signal noise reduction technology, the TriSonica Mini Wind and Weather Sensor truly gives users the power to “Know the Wind.” The TriSonica Sphere ideal for UAS-based atmospheric flux and turbulence research, including eddy covariance studies.",liz@anemoment.com,720-771-3595
Apellix,http://www.apellix.com,"Software Controlled Aerial Robots (Drones) with Precision Flight That Autonomously Paint/Coat, Clean/Surface Prep and, Measure Paint Thickness.",info@apellix.com,904-647-4511
